term,coef
better,-4.6989810753046175
sorry,-4.58538676256057
meh,-4.557905368122341
mediocre,-4.546105334576271
awful,-4.324821067282768
just,-4.291262348858706
left,-4.0081405902298215
cheap,-3.8214381215891917
bad,-3.5213637874695074
worst,-3.4588209504890353
sad,-3.406242156575215
disappointment,-3.303207363439677
quality,-3.155047222027594
won,-3.0611013157295357
disappointed,-3.0570413961091303
maybe,-3.026485850303783
tasted,-2.9396703876527526
doesn,-2.9278790401413923
poor,-2.853810266626803
gross,-2.844563881031827
dead,-2.837590650004021
tasteless,-2.73798838705197
disappointing,-2.7378522672900374
bland,-2.60901515861402
blah,-2.607432900394508
reason,-2.5687804802156475
clearly,-2.5537564850973213
walked,-2.525804918397292
dirty,-2.503613878695189
don,-2.5013595395641746
